Query	data
 Will a second measurement of child obesity take place?	{"Subject1":"child obesity","What-Was-Said-About-the-Subject":"second measurement"}
 According to Dr. Atherton, how much money will be needed in order to implement the plan of reducing childhood obesity?	{"Person":"Dr. Atherton","Subject1":"childhood obesity","What-Was-Said-About-the-Subject":"money will be needed in order to implement the plan"}
 According to Dr. Atherton, how much money will be needed in order to implement the plan of reducing childhood obesity?	{"Subject1":"childhood obesity","Person":"Dr. Atherton","What-Was-Said-About-the-Subject":"money will be needed"}
 What is the difference between a "school-to-school" and a "community-focused" school?	{"Subject1":"\"school-to-school\" and a \"community-focused\" school","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between a "school-to-school" and a "community-focused" school?	{"Subject1":"school-to-school\" and a \"community-focused\" school","What-Was-Said-About-the-Subject":"difference"}
 How might the transcriber's backchannel being overlooked affect the accuracy of the transcription?	{"Subject1":"accuracy of the transcription","What-Was-Said-About-the-Subject":"transcriber's backchannel being overlooked"}
 How might the transcriber's backchannel being overlooked affect the accuracy of the transcription?	{"What-Was-Said-About-the-Subject":"transcriber's backchannel being overlooked","Subject1":"accuracy of the transcription"}
 What is the last date the data was published?	{"Subject1":"data","What-Was-Said-About-the-Subject":"published"}
 What is the last date the data was published?	{"Subject1":"data","What-Was-Said-About-the-Subject":"last date"}
 What programming language are they using to create this Bayes-net?	{"Subject1":"Bayes-net","What-Was-Said-About-the-Subject":"programming language"}
 What programming language are they using to create this Bayes-net?	{"Subject1":"Bayes-net","What-Was-Said-About-the-Subject":"programming language are they using to create"}
 What is Dr. Frank Atherton's opinion on legislation to restrict fast-food takeaways near schools?	{"Person":"Dr. Frank Atherton","Subject1":"legislation","What-Was-Said-About-the-Subject":"restrict fast-food takeaways near schools"}
 What is Dr. Frank Atherton's opinion on legislation to restrict fast-food takeaways near schools?	{"Subject1":"fast-food takeaways near schools","Person":"Dr. Frank Atherton","What-Was-Said-About-the-Subject":"legislation to restrict"}
 What is Dr. Atherton's opinion on the use of health impact assessments?	{"Subject1":"health impact assessments","What-Was-Said-About-the-Subject":"Dr. Atherton's opinion","Person":"Dr. Atherton"}
 What is Dr. Atherton's opinion on the use of health impact assessments?	{"Subject1":"health impact assessments","What-Was-Said-About-the-Subject":"Dr. Atherton's opinion on the use","Person":"Dr. Atherton"}
 What work are the WDA doing to protect the interest of students in Wales following Brexit?	{"Subject1":"WDA","What-Was-Said-About-the-Subject":"protect the interest of students in Wales following Brexit"}
 What work are the WDA doing to protect the interest of students in Wales following Brexit?	{"Subject1":"interest of students","What-Was-Said-About-the-Subject":"work are the WDA doing"}
 What is Dr. Frank Atherton's opinion on using schools as sports facilities?	{"Subject1":"schools as sports facilities","What-Was-Said-About-the-Subject":"opinion","Person":"Dr. Frank Atherton"}
 What is Dr. Frank Atherton's opinion on using schools as sports facilities?	{"Person":"Dr. Frank Atherton","What-Was-Said-About-the-Subject":"Dr. Frank Atherton's opinion","Subject1":"schools as sports facilities"}
 How flexible is the price?	{"Subject1":"price","What-Was-Said-About-the-Subject":"flexible"}
 How flexible is the price?	{"Subject1":"price","What-Was-Said-About-the-Subject":"flexible"}
 What are the larger debates about universal free school meals?	{"Subject1":"universal free school meals","What-Was-Said-About-the-Subject":"larger debates"}
 What are the larger debates about universal free school meals?	{"Subject1":"universal free school meals","What-Was-Said-About-the-Subject":"larger debates"}
 What is the significance of the longitudinal data?	{"Subject1":"longitudinal data","What-Was-Said-About-the-Subject":"significance"}
 What is the significance of the longitudinal data?	{"Subject1":"longitudinal data","What-Was-Said-About-the-Subject":"significance"}
 How could backchannels be better transcribed when it can happen in densely-populated overlaps?	{"Subject1":"backchannels","What-Was-Said-About-the-Subject":"better transcribed"}
 How could backchannels be better transcribed when it can happen in densely-populated overlaps?	{"Subject1":"backchannels","What-Was-Said-About-the-Subject":"better transcribed when it can happen in densely-populated overlaps"}
 What is the Higher Education Funding Council for Wales' opinion on student protections?	{"Subject1":"student protections","What-Was-Said-About-the-Subject":"Higher Education Funding Council for Wales' opinion"}
 What is the Higher Education Funding Council for Wales' opinion on student protections?	{"Subject1":"student protections","What-Was-Said-About-the-Subject":"the Higher Education Funding Council for Wales' opinion"}
 What does Meilyr think about the benefits of Estyn's approach to the use of peer and nominee inspectors?	{"Person":"Meilyr","Subject1":"Estyn's approach","What-Was-Said-About-the-Subject":"benefits"}
 What does Meilyr think about the benefits of Estyn's approach to the use of peer and nominee inspectors?	{"Person":"Meilyr","Subject1":"Estyn's approach to the use of peer and nominee inspectors","What-Was-Said-About-the-Subject":"benefits"}
 Does Dr. Atherton disagree with the advice that he gave to the Minister for health?	{"Subject1":"advice","What-Was-Said-About-the-Subject":"Dr. Atherton disagree","Person":"Dr. Atherton"}
 Does Dr. Atherton disagree with the advice that he gave to the Minister for health?	{"Person":"Dr. Atherton","Subject1":"advice that he gave to the Minister for health","What-Was-Said-About-the-Subject":"disagree"}
 What is the Marketing Director's final decision?	{"Person":"Marketing Director","Subject1":"final decision"}
 What is the Marketing Director's final decision?	{"Person":"Marketing Director","Subject1":"final decision"}
 What is the postdoctoral student talking about when he says "you can consider the energy like another parameter in the feature vector, eh."?	{"Subject1":"postdoctoral student"}
 What is the postdoctoral student talking about when he says "you can consider the energy like another parameter in the feature vector, eh."?	{"Subject1":"postdoctoral student"}
 How does physical punishment affect the child's relationship with the parent?	{"Subject1":"child's relationship with the parent","What-Was-Said-About-the-Subject":"physical punishment affect"}
 How does physical punishment affect the child's relationship with the parent?	{"Subject1":"child's relationship with the parent","What-Was-Said-About-the-Subject":"physical punishment"}
 What are the Industrial Designer's thoughts on the User Interface's suggestions?	{"Subject1":"User Interface's suggestions","What-Was-Said-About-the-Subject":"Industrial Designer's thoughts","Person":"Industrial Designer"}
 What are the Industrial Designer's thoughts on the User Interface's suggestions?	{"Subject1":"User Interface's suggestions","What-Was-Said-About-the-Subject":"Industrial Designer's thoughts","Person":"Industrial Designer"}
 How many sector analyses has the Welsh Government done?	{"Subject1":"Welsh Government","What-Was-Said-About-the-Subject":"sector analyses"}
 How many sector analyses has the Welsh Government done?	{"Subject1":"Welsh Government","What-Was-Said-About-the-Subject":"sector analyses"}
 What is the first "overlap" that Professor D. discusses?	{"Subject1":"first \"overlap\"","What-Was-Said-About-the-Subject":"Professor D. discusses","Person":"Professor D"}
 What is the first "overlap" that Professor D. discusses?	{"Person":"Professor D.","Subject1":"first \"overlap\""}
 How would the remote control look if the elder people were the target group?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"elder people were the target group"}
 How would the remote control look if the elder people were the target group?	{"Subject1":"remote control look","What-Was-Said-About-the-Subject":"elder people were the target group"}
 What does the PhD student mean by considering all the frames?	{"Subject1":"frames"}
 What does the PhD student mean by considering all the frames?	{"Subject1":"frames"}
 What is the Government doing to mitigate these risks?	{"Subject1":"risks","What-Was-Said-About-the-Subject":"Government doing to mitigate"}
 What is the Government doing to mitigate these risks?	{"Subject1":"risks","What-Was-Said-About-the-Subject":"Government doing to mitigate"}
 What is the Welsh Government's response to Suzy Davies MP's question about the risk assessment?	{"Subject1":"risk assessment","Person":"Suzy Davies","What-Was-Said-About-the-Subject":"Welsh Government's response"}
 What is the Welsh Government's response to Suzy Davies MP's question about the risk assessment?	{"Subject1":"risk assessment","What-Was-Said-About-the-Subject":"Welsh Government's response to Suzy Davies MP's question","Person":"Suzy Davies"}
 What are the benefits of the remote control for the young?	{"What-Was-Said-About-the-Subject":"benefits","Subject1":"remote control for the young"}
 What are the benefits of the remote control for the young?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"benefits"}
 What are the new ideas that could be investigated?	{"Subject1":"new ideas","What-Was-Said-About-the-Subject":"investigated"}
 What are the new ideas that could be investigated?	{"Subject1":"new ideas","What-Was-Said-About-the-Subject":"investigated"}
 Is there an ETA for when the project will be completed?	{"Subject1":"project","What-Was-Said-About-the-Subject":"ETA"}
 Is there an ETA for when the project will be completed?	{"Subject1":"project","What-Was-Said-About-the-Subject":"ETA"}
 What are the different types of people who would use the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"different types of people"}
 What are the different types of people who would use the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"different types of people"}
 What was the purpose of the Brexit working group?	{"Subject1":"Brexit working group","What-Was-Said-About-the-Subject":"purpose"}
 What was the purpose of the Brexit working group?	{"Subject1":"Brexit working group","What-Was-Said-About-the-Subject":"purpose"}
 What are the pros and cons of a project manager and an industrial designer working together?	{"What-Was-Said-About-the-Subject":"pros and cons","Subject1":"project manager","Subject2":"industrial designer","Person":"a project manager and an industrial designer"}
 What are the pros and cons of a project manager and an industrial designer working together?	{"What-Was-Said-About-the-Subject":"pros and cons","Person":"project manager and an industrial designer","Subject1":"project manager and an industrial designer"}
 What has Professor B decided to do about the recruitment?	{"Person":"Professor B","Subject1":"recruitment","What-Was-Said-About-the-Subject":"Professor B decided"}
 What has Professor B decided to do about the recruitment?	{"Subject1":"recruitment","What-Was-Said-About-the-Subject":"Professor B decided","Person":"Professor B"}
 What is the EVA tree?	{"Subject1":"EVA tree"}
 What is the EVA tree?	{"Subject1":"EVA tree"}
What is the group's opinion of the project's process?	{"Subject1":"project's process","What-Was-Said-About-the-Subject":"group's opinion"}
What is the group's opinion of the project's process?	{"Subject1":"project's process","What-Was-Said-About-the-Subject":"group's opinion"}
 What type of environment does Adam use to develop his algorithm?	{"Subject1":"algorithm","What-Was-Said-About-the-Subject":"type of environment","Person":"Adam"}
 What type of environment does Adam use to develop his algorithm?	{"Person":"Adam","Subject1":"algorithm","What-Was-Said-About-the-Subject":"type of environment"}
 What can we learn from the example of the Horizon 2020 project?	{"Subject1":"Horizon 2020 project"}
 What can we learn from the example of the Horizon 2020 project?	{"Subject1":"Horizon 2020 project"}
 What are the two types of meeting that Professor D suggests for the control group?	{"Subject1":"control group","What-Was-Said-About-the-Subject":"types of meeting","Person":"Professor D"}
 What are the two types of meeting that Professor D suggests for the control group?	{"Person":"Professor D","Subject1":"control group","What-Was-Said-About-the-Subject":"two types of meeting"}
 Do social services decide what to do based solely on the police's report or are there other factors?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"what to do"}
 Do social services decide what to do based solely on the police's report or are there other factors?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"what to do"}
 What are the long-term goals of the government's intervention in families?	{"What-Was-Said-About-the-Subject":"long-term goals","Subject1":"government's intervention in families"}
 What are the long-term goals of the government's intervention in families?	{"Subject1":"government's intervention in families","What-Was-Said-About-the-Subject":"long-term goals"}
 What are the different types of screens?	{"Subject1":"screens","What-Was-Said-About-the-Subject":"different types"}
 What are the different types of screens?	{"Subject1":"screens","What-Was-Said-About-the-Subject":"different types"}
 What are the limitations of the new design?	{"Subject1":"new design","What-Was-Said-About-the-Subject":"limitations"}
 What are the limitations of the new design?	{"Subject1":"new design","What-Was-Said-About-the-Subject":"limitations"}
 How does the marketing department react to the user interface's complaint?	{"Subject1":"user interface's complaint","What-Was-Said-About-the-Subject":"marketing department react","Person":"marketing department"}
 How does the marketing department react to the user interface's complaint?	{"Subject1":"user interface's complaint","Person":"marketing department","What-Was-Said-About-the-Subject":"marketing department react"}
 What are some problems with a HMM?	{"Subject1":"HMM","What-Was-Said-About-the-Subject":"some problems"}
 What are some problems with a HMM?	{"Subject1":"HMM","What-Was-Said-About-the-Subject":"some problems"}
 What is the current state of emergency and out-of-hours local authority services?	{"Subject1":"emergency and out-of-hours local authority services","What-Was-Said-About-the-Subject":"current state"}
 What is the current state of emergency and out-of-hours local authority services?	{"Subject1":"current state of emergency","Subject2":"out-of-hours local authority services"}
 Why is the sample speaker a problem?	{"Subject1":"sample speaker","What-Was-Said-About-the-Subject":"problem"}
 Why is the sample speaker a problem?	{"Subject1":"sample speaker","What-Was-Said-About-the-Subject":"problem"}
 What would happen if you did not use the Java Bayes package?	{"Subject1":"Java Bayes package"}
 What would happen if you did not use the Java Bayes package?	{"Subject1":"Java Bayes package"}
 What are some other problems with Switchboard?	{"Subject1":"Switchboard","What-Was-Said-About-the-Subject":"other problems"}
 What are some other problems with Switchboard?	{"Subject1":"Switchboard","What-Was-Said-About-the-Subject":"some other problems"}
 What are the marketing and project manager discussing?	{"Subject1":"marketing and project manager discussing","Person":"marketing and project manager"}
 What are the marketing and project manager discussing?	{"Person":"marketing and project manager","Subject1":"marketing and project manager discussing"}
 What are some considerations for applying the BIC criterion on acoustic data?	{"Subject1":"BIC criterion","Subject2":"acoustic data","What-Was-Said-About-the-Subject":"some considerations"}
 What are some considerations for applying the BIC criterion on acoustic data?	{"Subject1":"BIC criterion","Subject2":"acoustic data","What-Was-Said-About-the-Subject":"some considerations"}
 What are some examples of referrals that might have no further action taken on them?	{"Subject1":"examples of referrals","What-Was-Said-About-the-Subject":"no further action taken on them"}
 What are some examples of referrals that might have no further action taken on them?	{"Subject1":"examples of referrals","What-Was-Said-About-the-Subject":"no further action taken on them"}
 What is the responsibility of social services?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"responsibility"}
 What is the responsibility of social services?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"responsibility"}
 Why does Postdoc F say that a meeting with two people is more like a control condition?	{"Subject1":"meeting","Person":"Postdoc F","What-Was-Said-About-the-Subject":"control condition"}
 Why does Postdoc F say that a meeting with two people is more like a control condition?	{"Subject1":"meeting with two people","What-Was-Said-About-the-Subject":"control condition","Person":"Postdoc F"}
 What does lifelong learning mean to Huw David?	{"Subject1":"lifelong learning","Person":"Huw David"}
 What does lifelong learning mean to Huw David?	{"Subject1":"lifelong learning","Person":"Huw David"}
 What are the long-term effects of physical punishment on a child?	{"Subject1":"physical punishment on a child","What-Was-Said-About-the-Subject":"long-term effects"}
 What are the long-term effects of physical punishment on a child?	{"Subject1":"physical punishment on a child","What-Was-Said-About-the-Subject":"long-term effects"}
 What was Professor B's response to Grad C's question about whether the consent form is sufficient and necessary for the study?	{"Subject1":"consent form","What-Was-Said-About-the-Subject":"Professor B's response to Grad C's question","Person":"Professor B"}
 What was Professor B's response to Grad C's question about whether the consent form is sufficient and necessary for the study?	{"Subject1":"study","What-Was-Said-About-the-Subject":"Professor B's response to Grad C's question","Person":"Professor B"}
 What is Sally Jenkins' understanding of the current "accepted form of punishment" for children?	{"Subject1":"accepted form of punishment","What-Was-Said-About-the-Subject":"for children","Person":"Sally Jenkins"}
 What is Sally Jenkins' understanding of the current "accepted form of punishment" for children?	{"Person":"Sally Jenkins","Subject1":"current \"accepted form of punishment\" for children","What-Was-Said-About-the-Subject":"Sally Jenkins' understanding"}
 What changes are anticipated for social services if the Bill becomes law?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"if the Bill becomes law"}
 What changes are anticipated for social services if the Bill becomes law?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"Bill becomes law"}
 Does Sally Jenkins think there is a need for legislation about this issue?	{"Subject1":"issue","What-Was-Said-About-the-Subject":"need for legislation","Person":"Sally Jenkins"}
 Does Sally Jenkins think there is a need for legislation about this issue?	{"Subject1":"issue","What-Was-Said-About-the-Subject":"need for legislation","Person":"Sally Jenkins"}
 What is the next step in the data collection process?	{"Subject1":"data collection process","What-Was-Said-About-the-Subject":"next step"}
 What is the next step in the data collection process?	{"Subject1":"data collection process","What-Was-Said-About-the-Subject":"next step"}
 What are the implications of the overlap in Switchboard?	{"What-Was-Said-About-the-Subject":"implications of the overlap","Subject1":"Switchboard"}
 What are the implications of the overlap in Switchboard?	{"Subject1":"Switchboard","What-Was-Said-About-the-Subject":"implications of the overlap"}
What did Huw David say about the unintended consequences for this Bill?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"unintended consequences","Person":"Huw David"}
What did Huw David say about the unintended consequences for this Bill?	{"What-Was-Said-About-the-Subject":"unintended consequences","Person":"Huw David","Subject1":"Bill"}
 What is the hardest part about designing the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"hardest part about designing"}
 What is the hardest part about designing the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"hardest part about designing"}
 What are the advantages and disadvantages of Bayes-nets?	{"Subject1":"Bayes-nets","What-Was-Said-About-the-Subject":"advantages and disadvantages"}
 What are the advantages and disadvantages of Bayes-nets?	{"What-Was-Said-About-the-Subject":"advantages and disadvantages","Subject1":"Bayes-nets"}
 Why did the professors think that a meeting with blindfolds might be a good idea?	{"Subject1":"meeting with blindfolds","What-Was-Said-About-the-Subject":"good idea","Person":"professors"}
 Why did the professors think that a meeting with blindfolds might be a good idea?	{"Subject1":"meeting with blindfolds","What-Was-Said-About-the-Subject":"good idea"}
 How does Professor B feel about the permission form?	{"Subject1":"permission form","What-Was-Said-About-the-Subject":"Professor B feel","Person":"Professor B"}
 How does Professor B feel about the permission form?	{"What-Was-Said-About-the-Subject":"Professor B feel","Person":"Professor B","Subject1":"permission form"}
 What is the main argument against the Bill?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"main argument"}
 What is the main argument against the Bill?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"main argument"}
 What are the different opinions about the buttons on the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"different opinions about the buttons"}
 What are the different opinions about the buttons on the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"different opinions about the buttons"}
 What is the difference between Switchboard data and the data collected in this study?	{"Subject1":"Switchboard data","Subject2":"data collected in this study","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between Switchboard data and the data collected in this study?	{"Subject1":"Switchboard data","Subject2":"data collected in this study","What-Was-Said-About-the-Subject":"difference"}
 What is preventing the service from investing more in families First?	{"Subject1":"service","What-Was-Said-About-the-Subject":"investing more in families First"}
 What is preventing the service from investing more in families First?	{"Subject1":"service","What-Was-Said-About-the-Subject":"investing more in families First"}
 What is one idea for a replacement for the sample speaker?	{"Subject1":"sample speaker","What-Was-Said-About-the-Subject":"idea for a replacement"}
 What is one idea for a replacement for the sample speaker?	{"Subject1":"sample speaker","What-Was-Said-About-the-Subject":"idea for a replacement"}
 What is the cost of the designer's suggestion?	{"Subject1":"designer's suggestion","What-Was-Said-About-the-Subject":"cost","Person":"designer"}
 What is the cost of the designer's suggestion?	{"What-Was-Said-About-the-Subject":"cost","Subject1":"designer's suggestion"}
 Who is the target audience for this remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"target audience"}
 Who is the target audience for this remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"target audience"}
 What is the solution to the problem with the Bayes net?	{"Subject1":"Bayes net","What-Was-Said-About-the-Subject":"solution to the problem"}
 What is the solution to the problem with the Bayes net?	{"Subject1":"problem with the Bayes net","What-Was-Said-About-the-Subject":"solution"}
 What is the overstretched social services department?	{"Subject1":"overstretched social services department"}
 What is the overstretched social services department?	{"Subject1":"overstretched social services department"}
 How will social service departments handle children that are being smacked?	{"Subject1":"children that are being smacked","What-Was-Said-About-the-Subject":"social service departments handle"}
 How will social service departments handle children that are being smacked?	{"Subject1":"social service departments","What-Was-Said-About-the-Subject":"handle children that are being smacked"}
 What does Grad D think about Grad A's idea?	{"Person":"Grad D","Subject1":"Grad A's idea"}
 What does Grad D think about Grad A's idea?	{"Subject1":"Grad A's idea","What-Was-Said-About-the-Subject":"Grad D think","Person":"Grad D"}
 Where will the transcriptions of the German TV and cinema data be located?	{"Subject1":"German TV","Subject2":"cinema data","What-Was-Said-About-the-Subject":"transcriptions"}
 Where will the transcriptions of the German TV and cinema data be located?	{"Subject1":"German TV","Subject2":"cinema","What-Was-Said-About-the-Subject":"transcriptions"}
 What is the Welsh Government's European transition team?	{"Subject1":"Welsh Government's European transition team"}
 What is the Welsh Government's European transition team?	{"Subject1":"Welsh Government's European transition team"}
 What other problems does the team anticipate with adding more colour?	{"Subject1":"colour","What-Was-Said-About-the-Subject":"problems"}
 What other problems does the team anticipate with adding more colour?	{"Subject1":"adding more colour","What-Was-Said-About-the-Subject":"problems","Person":"team"}
 What is an important issue in Wales right now?	{"Subject1":"Wales","What-Was-Said-About-the-Subject":"important issue"}
 What is an important issue in Wales right now?	{"Subject1":"Wales","What-Was-Said-About-the-Subject":"important issue"}
 Why does the project manager want to include a brown remote control?	{"Subject1":"brown remote control","Person":"project manager"}
 Why does the project manager want to include a brown remote control?	{"Subject1":"brown remote control","Person":"project manager"}
 What is the material of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"material"}
 What is the material of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"material"}
 Why might Professor B have a meeting with Fey, Jane, and Liz?	{"Subject1":"meeting","Person":"Professor B"}
 Why might Professor B have a meeting with Fey, Jane, and Liz?	{"Subject1":"meeting","Person":"Professor B"}
 What are some differences between the PDA and the onset detector?	{"Subject1":"PDA","Subject2":"onset detector","What-Was-Said-About-the-Subject":"some differences"}
 What are some differences between the PDA and the onset detector?	{"Subject1":"PDA","Subject2":"onset detector","What-Was-Said-About-the-Subject":"differences"}
 Why was the remote control designed for people with disabilities?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"for people with disabilities"}
 Why was the remote control designed for people with disabilities?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"people with disabilities"}
 What is the process for assessing reports of domestic abuse?	{"Subject1":"domestic abuse","What-Was-Said-About-the-Subject":"process for assessing reports"}
 What is the process for assessing reports of domestic abuse?	{"Subject1":"domestic abuse","What-Was-Said-About-the-Subject":"process for assessing reports"}
 What are the responsibilities of each member in the group?	{"Subject1":"group","What-Was-Said-About-the-Subject":"responsibilities of each member"}
 What are the responsibilities of each member in the group?	{"Subject1":"group","What-Was-Said-About-the-Subject":"responsibilities of each member"}
 How does the curve affect the manufacturing process?	{"Subject1":"manufacturing process"}
 How does the curve affect the manufacturing process?	{"Subject1":"manufacturing process"}
 What are the drawbacks of using the PDA?	{"Subject1":"PDA","What-Was-Said-About-the-Subject":"drawbacks"}
 What are the drawbacks of using the PDA?	{"Subject1":"PDA","What-Was-Said-About-the-Subject":"drawbacks"}
 What are the two possibilities for the control condition?	{"Subject1":"control condition","What-Was-Said-About-the-Subject":"two possibilities"}
 What are the two possibilities for the control condition?	{"Subject1":"control condition","What-Was-Said-About-the-Subject":"two possibilities"}
 What are the advantages of using a battery with a small lithi battery?	{"Subject1":"battery","":"advantages"}
 What are the advantages of using a battery with a small lithi battery?	{"Subject1":"battery with a small lithi battery","":"advantages"}
 What can't a wooden remote control do, according to the Project Manager?	{"Subject1":"wooden remote control","Person":"Project Manager","What-Was-Said-About-the-Subject":"according to the Project Manager"}
 What can't a wooden remote control do, according to the Project Manager?	{"Subject1":"wooden remote control","What-Was-Said-About-the-Subject":"according to the Project Manager","Person":"Project Manager"}
 What is the algorithm that Javier uses for speaker change detection?	{"Person":"Javier","Subject1":"speaker change detection","What-Was-Said-About-the-Subject":"algorithm"}
 What is the algorithm that Javier uses for speaker change detection?	{"Subject1":"speaker change detection","What-Was-Said-About-the-Subject":"algorithm","Person":"Javier"}
 Which partners have Wales shared data with about ESF funded projects, FE colleges, and apprenticeships?	{"Subject1":"Wales shared data","What-Was-Said-About-the-Subject":"ESF funded projects, FE colleges, and apprenticeships"}
 Which partners have Wales shared data with about ESF funded projects, FE colleges, and apprenticeships?	{"Subject1":"Wales shared data","What-Was-Said-About-the-Subject":"ESF funded projects, FE colleges, and apprenticeships"}
 What is the Welsh Government's position on the funding for higher and further education?	{"Subject1":"Welsh Government","What-Was-Said-About-the-Subject":"funding for higher and further education"}
 What is the Welsh Government's position on the funding for higher and further education?	{"Subject1":"higher and further education","What-Was-Said-About-the-Subject":"Welsh Government's position on the funding"}
 When would a social services team take action in response to an allegation of child abuse?	{"Person":"social services team","Subject1":"child abuse","What-Was-Said-About-the-Subject":"take action in response to an allegation"}
 When would a social services team take action in response to an allegation of child abuse?	{"Subject1":"child abuse","Person":"social services team","What-Was-Said-About-the-Subject":"action"}
 Why does the Industrial Designer want to make a remote control of wood instead of rubber?	{"Person":"Industrial Designer","Subject1":"remote control","What-Was-Said-About-the-Subject":"wood instead of rubber"}
 Why does the Industrial Designer want to make a remote control of wood instead of rubber?	{"Subject1":"remote control","Person":"Industrial Designer","What-Was-Said-About-the-Subject":"wood instead of rubber"}
 Would any of the participants like to share a testimony?	{"Subject1":"testimony"}
 Would any of the participants like to share a testimony?	{"Subject1":"testimony"}
 What are the pressures that social services are under?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"pressures"}
 What are the pressures that social services are under?	{"Subject1":"social services","What-Was-Said-About-the-Subject":"pressures"}
 Why will Fey and Professor B. be checking out social infrastructures for possible subjects?	{"Person":"Fey and Professor B.","What-Was-Said-About-the-Subject":"social infrastructures","Subject1":"possible subjects"}
 Why will Fey and Professor B. be checking out social infrastructures for possible subjects?	{"What-Was-Said-About-the-Subject":"checking out social infrastructures","Subject1":"possible subjects","Person":"Fey and Professor B."}
 What is the most important aspect of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"most important aspect"}
 What is the most important aspect of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"most important aspect"}
 What are the conclusions of the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"conclusions"}
 What are the conclusions of the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"conclusions"}
 What are the unintended consequences for this Bill?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"unintended consequences"}
 What are the unintended consequences for this Bill?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"unintended consequences"}
 What is the control condition in this experiment?	{"Subject1":"experiment","What-Was-Said-About-the-Subject":"control condition"}
 What is the control condition in this experiment?	{"Subject1":"experiment","What-Was-Said-About-the-Subject":"control condition"}
 What is the main argument against the legislation?	{"Subject1":"legislation","What-Was-Said-About-the-Subject":"main argument"}
 What is the main argument against the legislation?	{"Subject1":"legislation","What-Was-Said-About-the-Subject":"main argument"}
 What is the maximum number of colours that can be added to the scroll wheel?	{"Subject1":"scroll wheel","What-Was-Said-About-the-Subject":"maximum number of colours"}
 What is the maximum number of colours that can be added to the scroll wheel?	{"What-Was-Said-About-the-Subject":"maximum number of colours","Subject1":"scroll wheel"}
 What are the factors leading to the increase in the number of looked-after children?	{"Subject1":"looked-after children","What-Was-Said-About-the-Subject":"factors leading to the increase"}
 What are the factors leading to the increase in the number of looked-after children?	{"Subject1":"looked-after children","What-Was-Said-About-the-Subject":"factors leading to the increase"}
 What did Kirsty Williams say about higher and further eduction institutions before the vote that happened last year?	{"Person":"Kirsty Williams","Subject1":"higher and further eduction institutions","What-Was-Said-About-the-Subject":"vote that happened last year"}
 What did Kirsty Williams say about higher and further eduction institutions before the vote that happened last year?	{"Person":"Kirsty Williams","Subject1":"higher and further eduction institutions"}
 What is the professor's opinion on the idea of breaking a Bayes net into smaller Bayes nets?	{"Person":"professor","Subject1":"Bayes nets","What-Was-Said-About-the-Subject":"idea of breaking a Bayes net into smaller Bayes nets"}
 What is the professor's opinion on the idea of breaking a Bayes net into smaller Bayes nets?	{"Subject1":"Bayes net","Person":"professor","What-Was-Said-About-the-Subject":"the idea of breaking a Bayes net into smaller Bayes nets"}
 What does the law require social services to do?	{"Subject1":"law","Subject2":"social services"}
 What does the law require social services to do?	{"Subject1":"law","Subject2":"social services"}
 What is the idea that professor D has for the meeting with the blindfolds?	{"Person":"professor D","Subject1":"meeting with the blindfolds","What-Was-Said-About-the-Subject":"idea"}
 What is the idea that professor D has for the meeting with the blindfolds?	{"Person":"professor D","What-Was-Said-About-the-Subject":"idea that professor D has","Subject1":"meeting with the blindfolds"}
 Why does the industrial designer think the sample speaker is a bad idea?	{"Person":"industrial designer","Subject1":"sample speaker","What-Was-Said-About-the-Subject":"bad idea"}
